idx  group  line  radius  length  endP0x  endP0y  endP0z  endP1x  endP1y  endP1z
144      8     18      0.05372     0.50233     123.10622    1.36617     77.42710    122.96688    1.84854    77.44274
145      8     19      0.05429     0.56404     122.96688    1.84854     77.44274    123.50326    2.02200    77.46165
146      9     23      0.05304     0.72399     124.79647    13.33458     77.64597    124.60273    14.03200    77.66149
147      9     72      0.05716     0.11515     124.69819    13.27463     77.64318    124.79647    13.33458    77.64597
148     10     25      0.05368     0.38550     123.23680    8.76917     78.18406    123.14271    9.14286    78.19457
149     10     48      0.05076     0.34046     123.25624    8.74561     77.84497    123.23680    8.76917    78.18406
150     10     28      0.05295     0.23446     123.30252    8.55916     77.97936    123.25624    8.74561    77.84497
151     10     31      0.05385     0.38280     123.25624    8.74561     77.84497    123.13512    9.10790    77.86974
152     11     32      0.03465     0.36458     122.68491    8.07444     77.39975    123.03580    8.17337    77.39791
153     12     36      0.04789     0.31874     124.59564    14.65288     77.22352    124.59232    14.65432    77.54223
154     12     103      0.05193     0.15956     124.59564    14.65288     77.22352    124.56576    14.80944    77.23083
155     12     172      0.04941     0.14301     124.55364    14.79200     77.54173    124.59232    14.65432    77.54223
156     12     150      0.05092     0.17566     124.38455    14.74449     77.53932    124.55364    14.79200    77.54173
157     12     70      0.05198     0.12327     124.38455    14.74449     77.53932    124.41917    14.73357    77.65713
158     12     224      0.05092     0.54692     124.55364    14.79200     77.54173    125.08078    14.93759    77.54878
159     13     38      0.04209     0.21353     118.21702    8.64095     77.70681    118.24807    8.64263    77.91806
160     13     136      0.03716     4.09066     111.05905    6.57060     77.69559    114.99025    7.70162    77.70158
161     13     83      0.04419     0.16997     118.04250    8.57976     77.70623    118.00624    8.73842    77.75524
162     13     84      0.04395     0.15972     114.99025    7.70162     77.70158    114.94702    7.84518    77.75664
163     13     154      0.04335     0.20325     111.01209    6.55324     77.49861    111.05905    6.57060    77.69559
164     13     155      0.03641     0.46542     110.56513    6.42399     77.48660    111.01209    6.55324    77.49861
165     13     225      0.03716     3.17606     114.99025    7.70162     77.70158    118.04250    8.57976    77.70623
166     13     226      0.03716     0.18494     118.04250    8.57976     77.70623    118.21702    8.64095    77.70681
167     14     39      0.05166     0.23823     120.74257    3.22607     77.61250    120.97264    3.28763    77.60660
168     14     174      0.05469     0.17790     120.74699    3.22661     77.79034    120.74257    3.22607    77.61250
169     14     173      0.05562     0.14096     120.97592    3.28889     77.74751    120.97264    3.28763    77.60660
170     14     158      0.05772     1.74546     121.23458    1.55065     77.78336    120.74699    3.22661    77.79034
171     14     121      0.05958     1.74024     121.46062    1.61752     77.75124    120.97592    3.28889    77.74751
172     14     42      0.05318     0.32954     119.88400    6.19289     77.80271    119.88244    6.22632    78.13055
173     14     127      0.06230     3.42205     119.88244    6.22632     78.13055    123.16700    7.18653    78.13931
174     14     91      0.05567     0.18042     123.21040    7.19435     77.96436    123.16700    7.18653    78.13931
175     14     227      0.05772     3.08929     120.74699    3.22661     77.79034    119.88400    6.19289    77.80271
176     14     228      0.05772     5.39891     119.88400    6.19289     77.80271    118.37581    11.37682    77.82432
177     14     229      0.05958     8.38980     120.97592    3.28889     77.74751    118.63912    11.34667    77.72952
178     15     44      0.04874     0.66980     120.33475    12.77404     77.73886    120.97161    12.98132    77.74789
179     16     45      0.06163     0.38096     123.74092    2.64896     77.61520    124.10539    2.75912    77.62748
180     17     50      0.03519     0.42687     122.93567    9.56555     77.51471    122.79725    9.96934    77.51758
181     17     143      0.04179     1.90506     122.79725    9.96934     77.51758    124.62075    10.49894    77.67142
182     18     54      0.04196     0.39601     124.73309    14.82091     77.22080    125.11314    14.93220    77.22209
183     19     58      0.04434     0.30287     124.00161    1.70500     77.32897    123.91550    1.99532    77.32404
184     20     59      0.02379     0.63653     114.67138    8.77474     77.78920    114.50326    9.38866    77.78915
185     21     60      0.05836     0.17537     111.51813    3.81034     78.09895    111.56748    3.80171    78.26701
186     21     71      0.06084     0.27596     111.32145    3.75988     78.28582    111.51813    3.81034    78.09895
187     22     62      0.03054     0.19060     119.46547    9.77747     77.82738    119.64704    9.83545    77.82738
188     22     75      0.03114     0.29989     119.46547    9.77747     77.82738    119.45434    9.77410    78.12705
189     22     115      0.03305     0.06320     119.64704    9.83545     77.82738    119.65962    9.89698    77.83441
190     23     65      0.02418     0.50769     119.66006    8.98125     78.14937    120.14710    9.12454    78.14683
191     24     81      0.02196     0.20176     126.34626    2.30294     77.85410    126.33875    2.30157    78.05572
192     25     90      0.02844     0.30265     117.36877    8.61936     78.23105    117.66105    8.69738    78.22204
193     26     95      0.01834     0.22632     125.26492    8.47660     77.74289    125.28763    8.47668    77.96807
194     27     104      0.02507     0.20746     126.01165    3.42823     77.84916    125.94809    3.62456    77.87037
195     28     142      0.03122     3.93248     123.62634    7.36123     78.27280    127.39977    8.46823    78.28199
196     29     160      0.03395     2.77743     121.37872    11.45215     77.75072    124.04808    12.21935    77.74356
197     30     162      0.02214     1.86944     124.29542    2.38065     77.88547    123.75760    4.17102    77.87390
198     31     163      0.02733     0.98817     124.21357    6.87072     78.03839    123.94533    7.82176    78.04523
